content_id,source_type,source_url,status,error
80,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/AnnexureJ.pdf,error,'category' is an invalid keyword argument for ContentChunk
81,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/ApplicationformInstructionBooklet-V3.0.pdf,error,'category' is an invalid keyword argument for ContentChunk
10,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/List_of_Supporting_Document_for_Aadhaar_Enrolment_and_Update.pdf,error,'category' is an invalid keyword argument for ContentChunk
85,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-annexureb-pdf-18.pdf,error,'category' is an invalid keyword argument for ContentChunk
86,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-annexurec-pdf-19.pdf,error,'category' is an invalid keyword argument for ContentChunk
88,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-annexuree-pdf-21.pdf,error,'category' is an invalid keyword argument for ContentChunk
89,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-annexuref-pdf-22.pdf,error,'category' is an invalid keyword argument for ContentChunk
91,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-annexureh-pdf-24.pdf,error,'category' is an invalid keyword argument for ContentChunk
93,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-annexurej-pdf-26.pdf,error,'category' is an invalid keyword argument for ContentChunk
94,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-applicationforminstructionbooklet-v3-0-pdf-27.pdf,error,'category' is an invalid keyword argument for ContentChunk
96,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-public-advisory-pdf-29.pdf,error,'category' is an invalid keyword argument for ContentChunk
1,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/ENROLMENT-UPDATE_Form_Adult_update_V3.pdf,error,'category' is an invalid keyword argument for ContentChunk
4,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/Form-6-English.pdf,error,'category' is an invalid keyword argument for ContentChunk
99,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/railways/1648285255912-NPS-Allotment_Form.pdf,error,'category' is an invalid keyword argument for ContentChunk
100,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/railways/1666873279207-NPS-S2-FORM.pdf,error,'category' is an invalid keyword argument for ContentChunk
101,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/railways/1670392128054-1669802888669-Reimbursement_Claim_Form.pdf,error,'category' is an invalid keyword argument for ContentChunk
102,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/railways/railways-1388401894116-dar-sf-1-2-4-5-7-and-8-pdf-1.pdf,error,'category' is an invalid keyword argument for ContentChunk
104,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/railways/railways-1648285255912-nps-allotment-form-pdf-32.pdf,error,'category' is an invalid keyword argument for ContentChunk
